TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-04-05 11:42:07,1775389327337,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,gq8mv-1775389326139-bebddd96ae73,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:06,1775389326139,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,gq8mv-1775389326139-bebddd96ae73,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1144,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ6EV4RVZXAVCC12JTX8BC,,-1
2026-04-05 11:42:06,1775389326934,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,wpggw-1775389325745-d457394fb0e9,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:05,1775389325745,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,wpggw-1775389325745-d457394fb0e9,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1141,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ6EEQPNM3JMFYJF6M5AQY,,-1
2026-04-05 11:42:04,1775389324073,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,m8jfj-1775389322892-330913d0a504,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:02,1775389322892,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,m8jfj-1775389322892-330913d0a504,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1131,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ6BNG131PVRHJDGRRT1SW,,-1
2026-04-05 11:42:03,1775389323636,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,jj4gl-1775389322428-e32e7a7c122c,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:02,1775389322428,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,jj4gl-1775389322428-e32e7a7c122c,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1162,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ6B71EQYHQZ3BW5YJ37FJ,,-1
2026-04-05 11:42:01,1775389321847,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,p6j78-1775389320633-00306411ed90,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:00,1775389320633,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,p6j78-1775389320633-00306411ed90,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1164,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ69F0P2M4NH7BEW62S7A9,,-1
2026-04-05 11:42:01,1775389321365,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,5x9k2-1775389320207-4a293e912f0f,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:42:00,1775389320207,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.png,GET,,500,5x9k2-1775389320207-4a293e912f0f,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1101,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ691NVWGZHS7MSTC03YFQ,,-1
2026-04-05 11:42:00,1775389320488,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/,GET,,500,brb2w-1775389319299-bf844fa40d4f,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:41:59,1775389319299,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/,GET,,500,brb2w-1775389319299-bf844fa40d4f,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1139,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ6857NHW8K9YHPHG8VH4Y,,-1
